doc_id,filename,title,section,category,topic,audience,form_number,rev_date,page_count,word_count,extractor,source_url,source_domain,retrieved_at,content_sha256
aa5f20626fe18a9f,0503adminletteronline.pdf,0503Adminletteronline,NCDHHS Forms,policy,intake,social_worker,,,2,702,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/0503adminletteronline.pdf,policies.ncdhhs.gov,2026-06-25,66de62eb391e8abf53c16e569023c3e45eae0bd04d2be6d078e52151d9e797b1
6a1f810c793f9f51,052002.pdf,052002,NCDHHS Forms,policy,foster_care,social_worker,,,3,637,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/052002.pdf,policies.ncdhhs.gov,2026-06-25,3a332edfd161a89040fcd7c5a898b977323f5e0b86c173bad535b9f667f0654c
403cfa19ea657453,0603adminletter.pdf,0603Adminletter,NCDHHS Forms,policy,intake,social_worker,,,4,2393,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/0603adminletter.pdf,policies.ncdhhs.gov,2026-06-25,7d189268b24525b5a415b950cc0edf76765c44d4babd82613a05286e1e416ded
375ae1c47f03d6d3,07-2003.pdf,Family Support and Child Welfare Administrative,NCDHHS Forms,policy,health,social_worker,,,5,1580,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/07-2003.pdf,policies.ncdhhs.gov,2026-06-25,ddf1b37635851a73e54a831232128e8fb050ab79b5f2d7713fba0573b0ec6529
226bc03823fd061d,1000_cn_1104.pdf,Chapter IX: Drug Endangered Children Change,NCDHHS Forms,policy,assessment,social_worker,DSS-5256,,3,542,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/1000_cn_1104.pdf,policies.ncdhhs.gov,2026-06-25,4ff28bbbaad8d84cd48893bf752d63c17cf2115d2b84ad6bbebd35eca6e7f8b1
ddfc17268c7799e2,20201-2nd-Party-Review-Form-APPLICATIONS-Rev-3.2023.docx,20201 2Nd Party Review Form Applications Rev 3.2023,NCDHHS Forms,other,intake,social_worker,DSS-6969,,1,858,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/20201-2nd-Party-Review-Form-APPLICATIONS-Rev-3.2023.docx,policies.ncdhhs.gov,2026-06-25,f31b64d17257e76450031afd383ad3554a5f7052419993975213d0f6effa943a
445b8cd41504183e,20202-2nd-Party-Review-Form-RECERTIFICATIONS-Rev-3.2023.docx,20202 2Nd Party Review Form Recertifications Rev 3.2023,NCDHHS Forms,other,assessment,social_worker,DSS-8110,,1,865,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/20202-2nd-Party-Review-Form-RECERTIFICATIONS-Rev-3.2023.docx,policies.ncdhhs.gov,2026-06-25,c1ee01030147bc4288137db630c74d7e1d3612961685188323dac64788e4e717
eedc6146c05c6d83,Appendix-2-CPPS-June-2025.pdf,Appendix 2 Cpps June 2025,NCDHHS Forms,manual,assessment,social_worker,,,65,23352,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/Appendix-2-CPPS-June-2025.pdf,policies.ncdhhs.gov,2026-06-25,51b69fd1fff8c0d52f33995afd2951effd27d2f7b1c4974c3e4ca31f7fed8497
3ba8dc7a5db043a3,Appendix-2-PATH-NC-Child-Placement-and-Payment-Information-CPPI-Manual-April-2026.pdf,Appendix 2 Path Nc Child Placement And Payment Information Cppi Manual April 2026,NCDHHS Forms,manual,foster_care,social_worker,DSS-5094,,16,6660,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/Appendix-2-PATH-NC-Child-Placement-and-Payment-Information-CPPI-Manual-April-2026.pdf,policies.ncdhhs.gov,2026-06-25,c3b68556416c29590fde63f49a2f42029f1d245ac51e4db8832bad7bdecc2b44
048f782366753ed5,appendix-3-1-child-welfare-funding-overview-1.pdf,Appendix 3 1 Child Welfare Funding Overview 1,NCDHHS Forms,manual,case_planning,social_worker,,,4,1532,local-cascade,https://policies.ncdhhs.gov/wp-content/uploads/appendix-3-1-child-welfare-funding-overview-1.pdf,policies.ncdhhs.gov,2026-06-25,d96e7dcd21e36b6535bf27d87a204497add5f82c59e6efd6aa85a75bcbe3603f
